standardized_disease;fuzzy;list_of_diseases;corrected_list_of_diseases
hiperkolesterolemia;hiperkolesterolemia familial;[];[]
hiperkolesterolemia;hiperkolesterol primer tipe iia;[];[]
hiperkolesterolemia;hiperkolesterolemia primer tipe;[];[]
hiperkolesterolemia;hiperkolesterolemia primer;[];[]
hiperkolesterolemia;hiperkolesterolemia familial heterozigot;['heterozigot familial'];['heterozigot familial']
hiperkolesterolemia;hiperkolsterolemia;[];[]
hiperkolesterolemia;hiperkolesterol primer;[];[]
hiperkolesterolemia;hiperkolesterolemia familial heterozigot homozigot;[];[]
hiperlipidemia;hiperlipidaemia;[];[]
hiperlipidemia;hiperlipidemia campuran;[];[]
hiperlipidemia;hiperlipidemia kombinasi tipe iib ii;[];[]
hiperlipidemia;hiperlipidemia;[];[]
hiperlipidemia;hiperlipidemia kombinasi campuran;['kombinasi campuran'];[]
hiperparatiroidisme;hiperparatiroidisme;[];[]
hiperpigmentasi;hiperpigmentasi kulit;['hiperpigmentasi melanin area kulit tidak'];['hiperpigmentasi melanin area kulit tidak']
hiperpigmentasi;hiperpigmentasi;['hiperpigmentasi melamin'];['hiperpigmentasi melamin']
hipertensi;hipertensi nefrogenik;[];[]
hipertensi;hipertensi esensial ringan;[];[]
hipertensi;hipertensi maligna;[];[]
hipertensi;hipertensi dewasa;['influenza dewasa'];[]
hipertensi;hipertensi renovaskuler;[];[]
hipertensi;hipertensi;[];[]
hipertensi;hipertensi berat;[];[]
hipertensi;hipertensi ringan;[];[]
hipertensi;hipertensi essensial;[];[]
hipertensi;hipertensi esensial renovaskular;[];[]
hipertensi;darah tinggi;['tekanan tinggi pembuluh darah arteri paruparu'];['tekanan tinggi pembuluh darah arteri paruparu']
hipertensi;hipertensi essensial ringan;[];[]
hipertensi;hipertensi esensial;['tremor esensial'];[]
hipertensi okuler;hipertensi okular tidak responsif;['tidak responsif'];[]
hipertensi okuler;hipertensi mata;[];[]
hipertensi okuler;hipertensi okular;['gangguan peradangan okular', 'infeksi okular', 'inflamasi okular'];[]
hipertensi okuler;hipertensi okular responsif;['responsif'];[]
hipertensi okuler;hipertensi okuler;['okuler'];[]
hipertensi pulmonal;hipertensi pulmonal;[];[]
hiperurisemia;hiperurisemia;['hiperurisemia primer', 'hiperurisemia sekunder'];['hiperurisemia primer', 'hiperurisemia sekunder']
hiperurisemia;hiperuresemia;[];[]
hipoalbuminemia;hipoalbuminemia;[];[]
hipokalemia;hipokalemia;[];[]
hipomagnesemia;hipomagnesia;[];[]
hipomagnesemia;hipomagnesemia;[];[]
hipoparatiroid;hipoparatiroidisme;[];[]
hipotensi;hipotensi;['hipotensi okuler'];['hipotensi okuler']
hirsutisme;hirsutisme;[];[]
hirsutisme;hirsutism;[];[]
histoplasmosis;histoplasmosis;[];[]
histoplasmosis;hiptoplasmosis;[];[]
iktiosis;iktiosis;['iktiosis kulit kering'];['iktiosis kulit kering']
iktiosis;ikhtiosis;[];[]
ileus paralitik;ileus paralitik;[];[]
impetigo;impetigo kontagiosa;[];[]
impetigo;impetigo furunculosis;['furunculosis'];['furunculosis']
impetigo;impetigo go komplikasi;[];[]
impetigo;impetigo;[];[]
impetigo;impetigo kontagiosum;[];[]
impotensi;impoten;[];[]
impotensi;impotensi;[];[]
impotensi;impoten pria;['pria', 'sakit pria'];[]
imunisasi;imunisasi;['demam imunisasi', 'demam pasca imunisasi', 'demam sesudah imunisasi', 'demam setelah imunisasi'];[]
infeksi;infeksi lain;['dermatosis lain', 'infeksi lain disebabkan kuman gram sensitif', 'nyeri lain', 'nyeri muskuloskeletal lain', 'penyakit dermatologik lain'];['infeksi lain disebabkan kuman gram sensitif','infeksi berat', 'infeksi sedang','infeksi serius','infeksi akut','infeksi ringan', 'infeksi ringan sedang']
infeksi;infeksi lainnya;['dermatitis lainnya', 'infeksi kandida mukosa lainnya', 'penyakit virus lainnya'];['infeksi kandida mukosa lainnya','infeksi']
infeksi bakteri;infeksi bakteri anaerob;['infeksi anaerob', 'infeksi disebabkan bakteri anaerob'];['infeksi anaerob', 'infeksi disebabkan bakteri anaerob']
infeksi bakteri;infeksi bakteri pada lipatan kulit;['infeksi bakteri lipatan kulit'];['infeksi bakteri lipatan kulit']
infeksi bakteri;bakteri gr  penyebab bakteremia;[];[]
infeksi bakteri;infeksi akibat bakteri saluran kemih;[];[]
infeksi bakteri;infeksi bakteri sekunder bronkitis akut;[];[]
infeksi bakteri;bakteri gram negativ;[];[]
infeksi bakteri;infeksi bakteri anaerob sensitif;['infeksi serius disebabkan bakteri anaerob sensitif', 'infeksi serius disebabkan bakteri sensitif'];['infeksi serius disebabkan bakteri anaerob sensitif', 'infeksi serius disebabkan bakteri sensitif']
infeksi bakteri;bakteriuria asimptomatik pada masa hamil;['bakteriuria asimptomatik masa hamil'];['bakteriuria asimptomatik masa hamil']
infeksi bakteri;infeksi oleh bakteri;['disebabkan oleh jamur bakteri mulut', 'infeksi disebabkan oleh bakteri', 'septikemia keracunan darah oleh bakteri patogenik danatau zatzat dihasilkan oleh bakteri tersebut', 'septikemiakeracunan darah oleh bakteri patogenik zatzat dihasilkan oleh bakteri tersebut'];['disebabkan oleh jamur bakteri mulut', 'infeksi disebabkan oleh bakteri']
infeksi bakteri;infeksi bakteri gr gr  sal nafas;['infeksi bakteri gr gr sal nafas', 'infeksi berat disebabkan kuman gr gr', 'infeksi gr serius berat'];['infeksi bakteri gr gr sal nafas', 'infeksi berat disebabkan kuman gr gr', 'infeksi gr serius berat']
infeksi bakteri;infeksi mikobakterial;['infeksi mikobakterial tertentu', 'tbc infeksi mikobakterial'];['infeksi mikobakterial tertentu']
infeksi bakteri;infeksi bakteri sekunder;[];[]
infeksi bakteri;infeksi bakteri dan fungi pada mulut dan tenggorokan;['infeksi bakteri fungi mulut tenggorokan'];['infeksi bakteri fungi mulut tenggorokan']
infeksi bakteri;bakteria meningitis;[];[]
infeksi bakteri;infeksi bakterial mata;['dermatitis komplikasi infeksi bakterial'];[]
infeksi bakteri;infeksi bakteri gram positif;['infeksi berat disebabkan bakteri gram', 'infeksi disebabkan mikroorganisme gram positif gram negatif organisme memproduksi penisillinase', 'infeksi disebabkan oleh mikroorganisme gram positif gram negatif sensitif terhadap tetracyclin', 'infeksi gram', 'infeksi gram positif', 'infeksi gram positif gram negatif', 'infeksi gram positif negatif', 'infeksi gram positif serius berat', 'infeksi sekunder bakteri gram positif'];['infeksi berat disebabkan bakteri gram', 'infeksi disebabkan mikroorganisme gram positif gram negatif organisme memproduksi penisillinase', 'infeksi disebabkan oleh mikroorganisme gram positif gram negatif sensitif terhadap tetracyclin', 'infeksi gram', 'infeksi gram positif', 'infeksi gram positif gram negatif', 'infeksi gram positif negatif', 'infeksi gram positif serius berat', 'infeksi sekunder bakteri gram positif']
infeksi bakteri;bakteri gr penyebab bakteremia;[];[]
infeksi bakteri;bakteri staph;['infeksi serius staph', 'infeksi staph', 'staph'];['infeksi serius staph', 'infeksi staph', 'staph']
infeksi bakteri;infeksi bakteri mycobacterium tuberculosis tbc;['mycobacterium tuberculosis', 'tbc'];[]
infeksi bakteri;infeksi bakteri sensitif moxifloxacin;[];[]
infeksi bakteri;infeksi bakterial sekunder;[];[]
infeksi bakteri;bakteri gram positif;[];[]
infeksi bakteri;infeksi bakteri;['bakteri'];['bakteri']
infeksi bakteri;infeksi akibat bakteri;[];[]
infeksi bakteri;bakteri anaerob;['anaerob'];['anaerob']
infeksi bakteri;bakteri gram negatif;['gram negatif', 'infeksi gram negatif', 'infeksi mata disebabkan oleh bakteri gram negatif', 'kulit jarungan lunak bakteri gram negatif', 'meningitis bakteri gram negatif', 'meningitis disebabkan bakteri gram negatif'];['gram negatif', 'infeksi gram negatif']
infeksi bakteri;infeksi akibat chlamydia trachomatis;[];[]
infeksi bakteri;infeksi bakteri anaerob serius;['infeksi serius', 'infeksi serius akibat bakteri anaerob', 'infeksi serius bakteri anaerob'];['infeksi serius akibat bakteri anaerob', 'infeksi serius bakteri anaerob']
infeksi bakteri;infeksi mikobakteri;[];[]
infeksi bakteri;infeksi bakteri sensitif levofloxacin sinusitis;[];[]
infeksi bakteri;infeksi bakteri yang rentan;['infeksi bakteri rentan', 'infeksi rentan berat'];['infeksi bakteri rentan', 'infeksi rentan berat']
infeksi bakteri;bakteri gr;[];[]
infeksi bakteri;infeksi akibat bakteri pencernaan;[];[]
infeksi bakteri;bakteri endocarditis;[];[]
infeksi bakteri;infeksi bakteri dan jamur fungi;['fungi', 'infeksi bakteri jamur fungi', 'infeksi fungi', 'infeksi jamur fungi'];['infeksi bakteri jamur fungi']
infeksi bakteri;infeksi akibat bakteri saluran pernapasan;[];[]
infeksi bakteri;bakterial akut;['bakterial', 'dermatosis bakterial', 'eksaserbasi bakterial akut', 'eritis bakterial', 'sinusitis bakterial akut'];['bakterial', 'eksaserbasi bakterial akut', 'eritis bakterial']
infeksi genital;infeksi genital;['genital', 'penyakit ulkus genital'];[]
infeksi gigi;infeksi gigi;['gigi', 'gigi ringan', 'nyeri gigi', 'nyeri gigi sedang', 'pencabutan gigi', 'penyakit gigi', 'peradangan operasi gigi', 'pertumbuhan gigi'];[]
infeksi ginjal;infeksi pada ginjal;[];[]
infeksi ginjal;infeksi ginjal;['gangguan ginjal', 'gangguan ginjal prostat', 'ginjal', 'insufisiensi ginjal', 'kolik ginjal', 'osteodistrofi ginjal', 'pielonefritis infeksi ginjal akut'];['pielonefritis infeksi ginjal akut']
infeksi helicobacter pylori;infeksi bakteri helicobacter pylorus;[];[]
infeksi jamur;infeksi jamur ring  worm kulit;['infeksi jamur ring worm kulit'];['infeksi jamur ring worm kulit','infeksi fungi', 'infeksi jamur fungi','fungi']
infeksi jamur;infeksi akibat jamur;[];[]
infeksi jamur;infeksi jamur ringworm kulit  rambut kuku disebabkan microsporum  epidermophyton trichophyton;['infeksi jamur ringworm kulit rambut kuku disebabkan microsporum epidermophyton trichophyton'];['infeksi jamur ringworm kulit rambut kuku disebabkan microsporum epidermophyton trichophyton']
infeksi jamur;infeksi jamur pada kulit dengan inflamasiperadangan;['infeksi jamur kulit dengan inflamasiperadangan'];['infeksi jamur kulit dengan inflamasiperadangan']
infeksi jamur;infesi jamur;[];[]
infeksi jamur;infeksi jamur pada kulit kulit kepala dan kuku;['infeksi jamur kulit kulit kepala kuku'];['infeksi jamur kulit kulit kepala kuku']
infeksi jamur;infeksi jamur tubuh;['lemak tubuh'];[]
infeksi jamur;infeksi jamur;['anti jamur', 'gatalgatal disebabkan oleh infeksi jamur', 'infeksi jamur kandidiasis', 'infeksi jamur sistemik', 'jamur', 'profilaksis infeksi jamur'];['infeksi jamur kandidiasis', 'infeksi jamur sistemik', 'jamur', 'profilaksis infeksi jamur']
infeksi jamur kuku;infeksi jamur kuku;[];[]
infeksi jamur kuku;infeksi jamur pada kuku;[];[]
infeksi jamur kulit;infeksi jamur lipatan kulit;[];[]
infeksi jamur kulit;infeksi jamur pada kulit;[];[]
infeksi jamur kulit;infeksi jamur kulit kepala;[];[]
infeksi jamur kulit;infeksi jamur kulit kuku;[];[]
infeksi jamur kulit;infeksi jamur kulit;[];[]
infeksi jamur kulit;infeksi di kulit  jaringan lunak;[];[]
infeksi jamur kulit;infeksi jamur pada kulit dan kuku;[];[]
infeksi jamur kulit;infeksi dermatofita kulit kuku tangan;['dermatofita', 'infeksi dermatofita kuku kaki', 'infeksi kuku kulit dermatofita'];['dermatofita', 'infeksi dermatofita kuku kaki', 'infeksi kuku kulit dermatofita']
infeksi jamur rambut;infeksi jamur rambut;['rambut', 'rambut kuku'];[]
infeksi kulit;infeksi kulit dan membran mukosa lokal;['infeksi kulit membran mukosa lokal'];['infeksi kulit membran mukosa lokal']
infeksi kulit;infeksi kulit jaringan luka;['kulit jaringan luka'];[]
infeksi kulit;infeksi kulit pioderma;['pioderma', 'pioderma dermatitis infeksi sekunder', 'pioderma gangrenosa'];['pioderma', 'pioderma dermatitis infeksi sekunder', 'pioderma gangrenosa']
infeksi kulit;infeksi kulit dan strukturnya tanpa komplikasi;['infeksi kulit strukturnya tanpa komplikasi'];['infeksi kulit strukturnya tanpa komplikasi']
infeksi kulit;infeksi kulit  jaringan lunak;[];[]
infeksi kulit;infeksi kulit lain karena organisme yang peka terhadap kloramfenikol;['infeksi kulit lain organisme peka terhadap kloramfenikol'];['infeksi kulit lain organisme peka terhadap kloramfenikol']
infeksi kulit;infeksi kulit dan jar lunak;[];[]
infeksi kulit;infeksi kulit termasuk herpes genital rekuren dan herpes labialis;['herpes labialis', 'infeksi kulit termasuk herpes genital rekuren herpes labialis', 'infeksi rekuren herpes labialis'];['infeksi kulit termasuk herpes genital rekuren herpes labialis']
infeksi kulit;infeksi kulit dan jaringan lunak tanpa komplikasi;['infeksi kulit jaringan lunak tanpa komplikasi'];['infeksi kulit jaringan lunak tanpa komplikasi']
infeksi kulit;infeksi kulit primer maupun sekunder;[];[]
infeksi kulit;infeksi kulit primer akut;[];[]
infeksi kulit;infeksi kulit jar lunak terkomplikasi;[];[]
infeksi kulit;infeksi kulit struktur kulit terkomplikasi;[];[]
infeksi kulit;infeksi kulit lain;['mikosis kulit lain', 'penyakit kulit lain'];['mikosis kulit lain']
infeksi kulit;infeksi kulit jelunak;[];[]
infeksi kulit;infeksi kulit primer;[];[]
infeksi kulit;infeksi kulit dan struktur kulit;[];[]
infeksi kulit;infeksi kulit struktur kulit tidak terkomplikasi;[];[]
infeksi kulit;infeksi kulit struktur kulit ringan terkomplikasi;[];[]
infeksi kulit;infeksi kulit struktur kulit komplikasi;['komplikasi kulit'];[]
infeksi kulit;infeksi kulit mukosa;['alergi kulit mukosa', 'selaput mukosa'];[]
infeksi kulit;infeksi kulit dan jaringan lunak;[];[]
infeksi kulit;infeksi pada kulit;[];[]
infeksi kulit;infeksi kulit struktur kulit;['infeksi struktur kulit', 'kulit struktur kulit', 'struktur kulit', 'struktur kulit infeksi'];['infeksi struktur kulit', 'struktur kulit infeksi','infeksi basah kering kulit bayi']
infeksi kulit;infeksi serius jaringan lunak kulit;[];[]
infeksi kulit;infeksi kulit lainnya;['lesi2 kulit lainnya', 'penyakit kulit lainnya'];[]
infeksi kulit;infeksi kulit jar lunak;['infeksi jar lunak', 'jar lunak', 'jar lunak kulit', 'kulit jar lunak', 'kulit jar lunak go akut', 'kulit jar lunak infeksi serius'];['infeksi jar lunak', 'kulit jar lunak infeksi serius']
infeksi kulit;infeksi kulit kepala;['kulit kepala', 'nyeri kepala', 'seborea kulit kepala'];[]
infeksi kulit;infeksi kulit sekunder;['infeksi sekunder', 'infeksi sekunder kulit', 'infeksi sekunder luka terbuka', 'infeksi sekunder pyoderma', 'komplikasi infeksi sekunder', 'lesi kulit traumatik infeksi sekunder'];['infeksi sekunder kulit', 'infeksi sekunder luka terbuka', 'infeksi sekunder pyoderma', 'lesi kulit traumatik infeksi sekunder']
infeksi kulit;infeksi kulit;['gangguan kulit', 'infeksi', 'infeksi mikotik kulit', 'kulit', 'kulit infeksi', 'terapi infeksi kulit'];['gangguan kulit', 'infeksi mikotik kulit', 'kulit infeksi', 'terapi infeksi kulit']
infeksi kulit;infeksi kuku kulit;['infeksi kuku', 'kuku'];[]
infeksi kulit;infeksi kulit dan membran mukosa luar;['infeksi kulit membran mukosa luar', 'membran mukosa luar'];['infeksi kulit membran mukosa luar']
infeksi kulit;infeksi kulit primer dan sekunder;['infeksi kulit primer sekunder', 'infeksi primer sekunder', 'lesi kulit dengan infeksi primer sekunder oleh bakteri streptokokus', 'pioderma primer sekunder'];['infeksi kulit primer sekunder', 'infeksi primer sekunder', 'lesi kulit dengan infeksi primer sekunder oleh bakteri streptokokus', 'pioderma primer sekunder']
infeksi kulit;infeksi kulit termasuk herpes genital rekuren;[];[]
infeksi kulit;infeksi kulit dan struktur kulit tak terkomplikasi;['infeksi kulit struktur kulit tak terkomplikasi'];['infeksi kulit struktur kulit tak terkomplikasi']
infeksi kulit;infeksi kulit kepala demartitis sebaroik ringan;['demartitis sebaroik ringan'];[]
infeksi kulit;infeksi kulit jaringan lunak;['infeksi jaringan', 'infeksi jaringan lunak', 'infeksi jaringan lunak kulit', 'jaringan lunak', 'kulit jaringan kulit', 'kulit jaringan lunak', 'kulit jaringan lunak bakteri staph', 'kulit jaringan lunak tulang sendi', 'penyakit infeksi kulit jaringan lunak', 'penyakit kulit jaringan lunak', 'reumatik jaringan lunak terlokalisir'];['infeksi jaringan', 'infeksi jaringan lunak', 'infeksi jaringan lunak kulit']
infeksi lambung;infeksi lambung;['asam lambung', 'gangguan lambung', 'lambung', 'lesi lambung', 'nyeri lambung', 'ulkus lambung'];[]
infeksi luka operasi;infeksi sesudah operasi;['nyeri sesudah operasi'];[]
infeksi luka operasi;infeksi luka operasi;['infeksi luka', 'luka dengan infeksi', 'luka paska operasi'];['infeksi luka', 'luka dengan infeksi', 'luka paska operasi']
infeksi luka operasi;infeksi operasi;['infeksi operasi esofangeal', 'operasi', 'sakit operasi'];['infeksi operasi esofangeal']
infeksi luka operasi;infeksi pasca operasi;['inflamasi pasca operasi', 'pasca operasi', 'pasca operasi lambung', 'pencegahan infeksi anaerob pasca operasi', 'pengobatan pra pasca operasi', 'radang pasca operasi katarak', 'retensi urin pasca operasi', 'tukak pasca operasi'];[]
infeksi mata;infeksi mata;['gatal mata', 'infeksi eksternal mata', 'infeksi mata eksternal bola mata', 'infeksi mata okular', 'inflamasi mata', 'iritasi mata', 'kulit mata', 'mata', 'penyakit mata', 'peradangan mata'];['infeksi eksternal mata', 'infeksi mata eksternal bola mata', 'infeksi mata okular', 'inflamasi mata','infeksi okular', 'infeksi mata disebabkan oleh bakteri gram negatif']
infeksi mata;infeksi pada mata;[];[]
infeksi paru-paru;infeksi paru;[];[]
infeksi paru-paru;infeksi paru-paru;['abs paru', 'paru', 'paru resisten', 'penyakit paru', 'penyakit2 paru', 'tb paru', 'tbc paru', 'tbc paru paru', 'tuberkulosa paru', 'tuberkulosis paru'];[]
infeksi rahim;infeksi rahim;[];[]
infeksi salmonella;infeksi yang disebabkan oleh salmonella;['infeksi disebabkan oleh salmonella'];['infeksi disebabkan oleh salmonella']
infeksi salmonella;salmonellosis;[];[]
infeksi salmonella;salmonelosis;[];[]
infeksi salmonella;infeksi salmonella spp;[];[]
infeksi salmonella;salmonelosis  infeksi urogenital;['salmonelosis infeksi urogenital'];['salmonelosis infeksi urogenital']
infeksi salmonella;infeksi salmonella;[];[]
infeksi salmonella;infeksi salmonella sp sp;[];[]
infeksi salmonella;infeksi disebabkan salmonella sp;[];[]
infeksi salmonella;infeksi yang disebabkan oleh salmonella sp;['infeksi disebabkan oleh salmonella sp'];['infeksi disebabkan oleh salmonella sp']
infeksi salmonella;infeksi disebabkan salmonella;[];[]
infeksi salmonella;infeksi salmonella sp;[];[]
infeksi salmonella;salmonella;[];[]
infeksi salmonella;infeksi salmonele;[];[]
infeksi salmonella;salmonella sp;[];[]
infeksi saluran kemih;infeksi saluran kemih kompleks;[];['isk', 'isk komplikasi', 'isk terkomplikasi']
infeksi saluran kemih;infeksi saluran kemih bagian bawah;['gangguan saluran kemih bagian bawah', 'gangguan saluran kemih bagian bawah berhubungan dengan hiperplasia prostat jinak', 'infeksi akut non komplikata saluran kemih bagian bawah'];['infeksi akut non komplikata saluran kemih bagian bawah']
infeksi saluran kemih;infeksi saluran kemih kompleks complicated urinary tract infection;['complicated urinary tract infection'];['complicated urinary tract infection']
infeksi saluran kemih;infeksi saluran kemih kecuali prostatitis;[];[]
infeksi saluran kemih;infeksi saluran kemih dengan komplikasi;['dermatitis dengan komplikasi infeksi bakterial', 'infeksi intraabdomen dengan komplikasi'];[]
infeksi saluran kemih;infeksi saluran kemih dan kelamin;[];[]
infeksi saluran kemih;infeksi saluran kemih akut;[];[]
infeksi saluran kemih;infeksi saluran genitourinary;['infeksi traktus genitourinary'];['infeksi traktus genitourinary']
infeksi saluran kemih;infeksi saluran kemih komplikasi;['komplikasi infeksi saluran kemih'];['komplikasi infeksi saluran kemih']
infeksi saluran kemih;infeksi saluran kencing;['kencing manis'];[]
infeksi saluran kemih;saluran kemih kelamin infeksi kulit jaringan lunak;['kelamin infeksi kulit jaringan lunak'];['kelamin infeksi kulit jaringan lunak']
infeksi saluran kemih;infeksi saluran urogenital;['infeksi urogenital'];['infeksi urogenital']
infeksi saluran kemih;infeksi saluran kemih tanpa komplikasi;['gogonorea tanpa komplikasi'];[]
infeksi saluran kemih;saluran kemih kelamin infeksi;[];[]
infeksi saluran kemih;saluran kemih organ genital wanita;['nyeri paroxismal lambung usus halus nyeri spastik saluran empedu saluran kemih organ genital wanita', 'nyeri spastik organ genital wanita', 'spastik organ genital wanita'];[]
infeksi saluran kemih;infeksi bakteri saluran kemih;[];[]
infeksi saluran kemih;infeksi di saluran kemih;[];[]
infeksi saluran kemih;infeksi saluran kemih;[];[]
infeksi saluran kemih;infeksi pada saluran kemih;[];[]
infeksi saluran kemih;infeksi saluran urinarius;['infeksi traktus urinarius', 'infeksi traktus urinarius pielonefritis'];['infeksi traktus urinarius', 'infeksi traktus urinarius pielonefritis']
infeksi saluran kemih;infeksi saluram urinarius;[];[]
infeksi saluran kemih;infeksi sal urogenital kemih kelamin;[];[]
infeksi saluran kemih;infeksi saluran urin;['batu urin', 'batu urin saluran kemih'];
infeksi saluran kemih;infeksi saluran kelamin;['infeksi kelamin', 'kelamin', 'kelamin infeksi'];[]
infeksi saluran kemih;infeksi saluran gl;['gl', 'infeksi sal gl', 'sal gl'];['infeksi sal gl']
infeksi saluran kemih;infeksi sal kemih;[];[]
infeksi saluran kemih;infeksi saluran genitourinari;['sal genitourinari', 'saluran genital genitourinari', 'saluran genitourinari'];[]
infeksi saluran kemih;infeksi saluran genitourinaria;['saluran genitourinaria'];[]
infeksi saluran kemih;infeksi saluran kemih tidak terkomplikasi disebabkan escherichia coli proteus mirabilis;[];[]
infeksi saluran kemih;infeksi saluran kemih  kelamin;[];[]
infeksi saluran kemih;infeksi saluran kemih akut komplikasi;[];[]
infeksi saluran kemih;infeksi saluran kemih kelamin;[];[]
infeksi saluran pencernaan;infeksi saluran pencernaan;['infeksi pencernaan', 'infeksi sistem pencernaan'];['infeksi pencernaan', 'infeksi sistem pencernaan','infeksi gut','infeksi intraabdomen dengan komplikasi', 'proteus mirabilisinfeksi saluran pencernaan']
infeksi saluran pencernaan;lesi di saluran pencernaan;['lesi saluran pencernaan'];['lesi saluran pencernaan']
infeksi saluran pencernaan;infeksi sal cerna;[];[]
infeksi saluran pencernaan;infeksi saluran cerna;['infeksi pernafasan saluran cerna'];['infeksi pernafasan saluran cerna']
infeksi saluran pencernaan;sal cerna tifoid paratifoid;['infeksi saluran cerna tifoid paratifoid'];['infeksi saluran cerna tifoid paratifoid']
infeksi saluran pernapasan;infeksi sal napa;['infeksi virus sal napa'];['infeksi virus sal napa']
infeksi saluran pernapasan;infeksi saluran pernapasan;[];[]
infeksi saluran pernapasan;infeksi sal nafas bawah;[];[]
infeksi saluran pernapasan;infeksi saluran nafas atas bawah;['infeksi saluran nafas bawah atas'];['infeksi saluran nafas bawah atas']
infeksi saluran pernapasan;infeksi saluran napa akut;['gangguan saluran napa akut khronik', 'sekretolitik gangguan saluran napa akut khronik'];[]
infeksi saluran pernapasan;infeksi saluran pencernaan saluran kemih;[];[]
infeksi saluran pernapasan;infeksi saluran nafas bawah;['infeksi serius disebabkan bakteri sensitif infeksi saluran nafas bawah', 'infeksi serius saluran nafas bag bawah'];['infeksi serius disebabkan bakteri sensitif infeksi saluran nafas bawah', 'infeksi serius saluran nafas bag bawah']
infeksi saluran pernapasan;infeksi saluran napas bawah;[];[]
infeksi saluran pernapasan;infeksi saluran napas;[];[]
infeksi saluran pernapasan;infeksi saluran nafas akut;['gangguan saluran nafas akut', 'gangguan saluran nafas akut kronis', 'infeksi akut', 'penyakit saluran nafas akut'];[]
infeksi saluran pernapasan;infeksi saluran napas atas;['penyakit saluran napas atas lain'];[]
infeksi saluran pernapasan;infeksi saluran nafas atas;[];[]
infeksi saluran pernapasan;infeksi ringan  sedang sal nafas bawah dan atas kulit dan struktur kulit phs;['infeksi ringan sedang sal nafas bawah atas kulit struktur kulit phs'];['infeksi ringan sedang sal nafas bawah atas kulit struktur kulit phs']
infeksi saluran pernapasan;infeksi saluran nafas;['infeksi serius saluran nafas'];['infeksi serius saluran nafas']
infeksi saluran pernapasan;infeksi saluran nafas khronik;['gangguan saluran nafas khronik', 'infeksi saluran nafas akut khronik'];['infeksi saluran nafas akut khronik']
infeksi saluran pernapasan;sal nafas kecuali pneumonia strep;[];[]
infeksi saluran pernapasan;infeksi saluran pernapasan atas  bawah;['infeksi saluran pernapasan atas bawah'];['infeksi saluran pernapasan atas bawah']
infeksi saluran pernapasan;saluran nafas atas;[];[]
infeksi saluran pernapasan;infeksi saluran nafas kulit dan jaringan lunak;['infeksi saluran nafas kulit jaringan lunak'];['infeksi saluran nafas kulit jaringan lunak']
infeksi saluran pernapasan;infeksi saluran pernapasan atas dan bawah;[];[]
infeksi saluran pernapasan;infeksi saluran nafas kronik;['obstruksi saluran nafas kronik', 'penyakit saluran nafas kronik'];[]
infeksi saluran pernapasan;infeksi saluran nafas akut dan khronik;[];[]
infeksi saluran pernapasan;infeksi saluran napa akut kronik;['penyakit saluran napa akut kronik'];[]
infeksi saluran pernapasan;infeksi saluran napas atas dan bawah;[];[]
infeksi saluran pernapasan;infeksi ringan saluran nafas;['radang ringan saluran nafas'];[]
infeksi saluran pernapasan;infeksi sal nafas lainnya;['iritasi saluran nafas lainnya'];[]
infeksi saluran pernapasan;saluran nafas akut kronik;['infeksi saluran nafas akut kronik', 'penyakit saluran nafas akut kronik'];['infeksi saluran nafas akut kronik']
infeksi saluran pernapasan;infeksi saluran napa;[];[]
infeksi saluran pernapasan;infeksi saluran nafas dan bawah;[];[]
infeksi saluran pernapasan;infeksi saluran pernafasan bawah;[];[]
infeksi saluran pernapasan;infeksi sal nafas bakteri gr;[];[]
infeksi saluran pernapasan;infeksi sal pernafasan atas;[];[]
infeksi saluran pernapasan;infeksi bakteri saluran pernafasan;[];[]
infeksi saluran pernapasan;infeksi saluran pernafasan bagian bawah;[];[]
infeksi saluran pernapasan;infeksi sal nafas atas;[];[]
infeksi saluran pernapasan;infeksi saluran pernafasan bagian atas  bawah;['infeksi saluran pernafasan bagian atas bawah', 'infeksi saluran pernfasan bagian atas bawah'];['infeksi saluran pernafasan bagian atas bawah', 'infeksi saluran pernfasan bagian atas bawah']
infeksi saluran pernapasan;infeksi saluran napas atas  bawah;['infeksi saluran napas atas bawah'];['infeksi saluran napas atas bawah']
infeksi saluran pernapasan;infeksi saluran pernafasan bagian atas;['peradangan saluran pernafasan bagian atas'];[]
infeksi saluran pernapasan;infeksi sal nafas kulit;[];[]
infeksi saluran pernapasan;infeksi saluran nafas bagian atas dan bawah;['infeksi saluran nafas bagian atas bawah'];['infeksi saluran nafas bagian atas bawah']
infeksi saluran pernapasan;infeksi saluran nafas kecuali pneumonia strep hemolitikus;[];[]
infeksi saluran pernapasan;infeksi saluran pernapasan bagian atas;[];[]
infeksi saluran pernapasan;infeksi sal nafas atas dan bawah;['infeksi sal nafas atas bawah'];['infeksi sal nafas atas bawah']
infeksi saluran pernapasan;infeksi sal nafas;['infeksi berat sal nafas', 'infeksi sal'];['infeksi berat sal nafas', 'infeksi sal']
infeksi saluran pernapasan;infeksi saluran nafas dan tht;['infeksi saluran nafas tht', 'infeksi tht', 'tht'];['infeksi saluran nafas tht', 'infeksi tht', 'tht']
infeksi saluran pernapasan;infeksi saluran nafas akut dan kronik;[];[]
infeksi saluran pernapasan;infeksi saluran pernafasan;['infeksi pernafasan'];['infeksi pernafasan']
infeksi saluran pernapasan;infeksi saluran pernapasan bawah;[];[]
