standardized_disease;fuzzy;list_of_diseases;corrected_list_of_diseases
discoid;dsikoid;[];[]
disentri;disentri basiler;['enterokolitis disentri basiler akibat bakteri gram negatif', 'paratifoid disentri basiler'];['enterokolitis disentri basiler akibat bakteri gram negatif', 'paratifoid disentri basiler']
disentri;disentri;[];[]
disentri;disentri basil;[];[]
disfungsi ereksi;disfungsi ereksi;[];[]
disfungsi ovulasi;disfungsi ovulasi;[];[]
disfungsi ovulasi;gangguan ovulasi;[];[]
disfungsi ovulasi;disovulasi;[];[]
dislipidemia;dislipidemia campuran tipe iib;[];[]
dislipidemia;dislipidemia;[];[]
dislipidemia;dislipidemia campuran;[];[]
dislipidemia;dislipidemia campuran fredrickson tipe iia iib;[];[]
dismenore;dismenore;['nyeri dismenore'];['nyeri dismenore']
dismenore;dismenore nyeri haid;['haid', 'nyeri haid', 'nyeri haid dismenore primer', 'nyeri haid primer', 'nyeri waktu haid', 'sakit haid'];['haid', 'nyeri haid', 'nyeri haid dismenore primer', 'nyeri haid primer', 'nyeri waktu haid', 'sakit haid']
dismenore;dismenorea;[];[]
dismenore;disenore;[];[]
dismenore;dysmenorrhea primer;['nyeri haid dysmenorrhea primer'];['nyeri haid dysmenorrhea primer']
dismenore;dismenore pasca operasi;[];[]
dismenore;dismenorea primer;[];[]
dismenore;dismenor primer;[];[]
dismenore;dismenore nyeri saat haid;['keram saat haid'];['keram saat haid']
dismenore;dismenore primer;['nyeri dismenore primer'];['nyeri dismenore primer']
dismenore;dysmenorrhea;[];[]
dismenore;disenore nyeri haid;[];[]
dismenore;disumenore;[];[]
edema;edema akibat chf;[];[]
edema;edema inflamasi;['inflamasi'];[]
edema;edema gagal jantung kongestif;['gagal jantung kongestif'];[]
edema;edema;[];[]
edema;edema asites;[];[]
ejakulasi dini;ejakulasi dini;[];[]
emboli;embolus sistemik;['embolus paru'];['embolus paru']
emboli;emboli serebral;['gangguan serebral'];[]
emboli;emboli;[];[]
emfisema;emfisema penyakit paru komplikasi bronkhospasme;['penyakit2 paru menimbulkan komplikasi bronkhospasme'];[]
emfisema;emfisema dengan bronkitis;['ppok emfisema dengan bronkitis bronkitis kronis bronkiektasi'];['ppok emfisema dengan bronkitis bronkitis kronis bronkiektasi']
emfisema;emfisema;['pulmonari emfisema'];['pulmonari emfisema']
emfisema;emfisema gangguan bronkhopulmoner;['gangguan bronkhopulmoner'];['gangguan bronkhopulmoner']
emfisema;enfisema;[];[]
emfisema;emphysema;['batuk emphysema'];['batuk emphysema']
emfisema;emfisema paru;[];[]
empiema;emfiema;[];[]
endokarditis;endokarditis;[];[]
endometriosis;endometriosis;[];[]
endometritis;endometritis;[];[]
ensefalopati;ensefalopati portal  sistemik;[];[]
ensefalopati;ensefalopati portal sistemik;['portal sistemik'];['portal sistemik']
ensefalopati;ensefalopati;[];[]
ensefalopati;ensefalopati portal sistemik kronik;[];[]
ensefalopati;encephalopathy;['portal systemic encephalopathy'];['portal systemic encephalopathy']
ensefalopati;ensefalopati portalsistemik;[];[]
ensefalopati;ensefalopati portal;[];[]
epididimitis;epididimitis;[];[]
epididimo-orkitis;epididimo-orkitis;['epididimo orkitis'];['epididimo orkitis']
episkleritis;episkleritis;[];[]
episkleritis;episklerit;[];[]
episkleritis;episcleritis;[];[]
esofagitis;esophagitis;[];[]
esofagitis;eosifagitis;['peptik eosifagitis'];['peptik eosifagitis']
esofagitis;esofagitis;['peptik esofagitis'];['peptik esofagitis']
faringitis;pharingitis;[];[]
faringitis;faringitis;['faringitis tonsilitis', 'faringitis tonsilitis streptokokus'];['faringitis tonsilitis', 'faringitis tonsilitis streptokokus']
fistula ani;fistula ani;['fistula'];['fistula']
fisura ani;fisura ani;['fisura anal'];['fisura anal']
flek;flek;[];[]
flek;flek hitam;[];[]
flek;flek kanker paru paru;[];[]
flu;virus influenza b;['h influenza', 'influenza', 'influenza a', 'influenza anak'];['h influenza', 'influenza', 'influenza a', 'influenza anak','influenza dewasa']
flu;flu seperti demam;[];[]
flu;infeksi virus influenza tipe a;[];[]
flu;infeksi virus influenza tipe b;[];[]
flu;virus influenza tipe a;['influenza tipe a', 'influenza tipe b', 'virus influenza tipe a b'];['influenza tipe a', 'influenza tipe b', 'virus influenza tipe a b']
flu;virus influenza a;[];[]
flu;flu disertai batuk kering;['panas disertai tenggorokan kering'];[]
flu;flu influensa;['demam influensa', 'influensa', 'influensa demam'];['demam influensa', 'influensa', 'influensa demam']
flu;flu pilek;[];[]
